Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-20,41.625,41.974,41.198,41.237,36412124,0.0,0
2016-01-21,41.198,41.276,40.151,40.267,49722566,0.0,0
2016-01-22,40.888,41.198,40.383,41.004,30081814,0.0,0
2016-01-25,41.664,42.051,41.508,41.586,23811323,0.0,0
2016-01-26,40.733,40.733,40.112,40.189,28526653,0.0,0
2016-01-27,41.082,41.353,40.888,41.043,25551210,0.0,0
2016-01-28,41.043,41.586,40.965,41.392,22593012,0.0,0
2016-01-29,41.353,42.556,41.353,42.284,26970269,0.0,0
2016-02-01,42.517,42.672,42.245,42.401,20814857,0.0,0
2016-02-02,41.896,42.401,41.741,42.013,19482291,0.0,0
2016-02-03,40.771,40.771,40.267,40.539,36916320,0.0,0
2016-02-04,40.461,40.616,40.306,40.345,27031116,0.0,0
2016-02-05,40.577,40.926,40.461,40.616,14190147,0.0,0
2016-02-11,38.715,38.715,38.327,38.405,57492829,0.0,0
2016-02-12,37.202,37.358,37.086,37.319,44149323,0.0,0
2016-02-15,38.483,39.064,38.405,38.987,27861491,0.0,0
2016-02-16,38.987,39.297,38.87,39.064,14928926,0.0,0
2016-02-17,38.87,39.026,38.327,38.405,16038893,0.0,0
2016-02-18,39.452,39.685,39.258,39.53,15937737,0.0,0
2016-02-19,38.948,39.064,38.676,38.987,17092831,0.0,0
2016-02-22,39.064,39.763,37.707,38.133,49541286,0.0,0
2016-02-23,38.056,38.56,37.784,38.133,28484295,0.0,0
2016-02-24,37.707,37.901,37.551,37.784,24572792,0.0,0
2016-02-25,37.28,37.319,36.97,37.047,42846538,0.0,0
2016-02-26,38.017,38.638,37.939,38.444,28829644,0.0,0
2016-02-29,38.832,38.948,38.289,38.521,17829975,0.0,0
2016-03-01,38.483,38.909,38.095,38.832,23613890,0.0,0
2016-03-02,39.181,39.801,39.142,39.491,34211835,0.0,0
2016-03-03,39.995,40.035,39.634,39.795,16025139,1.62875,0
2016-03-04,39.795,40.356,39.795,40.276,18674180,0.0,0
2016-03-07,40.115,40.516,39.594,39.795,24550679,0.0,0
2016-03-08,39.715,39.875,39.394,39.474,19506044,0.0,0
2016-03-09,39.594,40.476,39.594,40.115,31118048,0.0,0
2016-03-10,40.195,40.596,39.915,40.236,24931258,0.0,0
2016-03-11,39.915,40.556,39.915,40.316,47828976,0.0,0
2016-03-14,40.476,40.877,40.476,40.636,35826740,0.0,0
2016-03-15,40.476,40.476,40.155,40.236,15635270,0.0,0
2016-03-16,40.276,40.396,39.915,39.955,13396144,0.0,0
2016-03-17,40.476,40.636,40.236,40.436,11538725,0.0,0
2016-03-18,40.236,40.356,39.995,40.075,14658126,0.0,0
2016-03-21,40.396,40.596,40.195,40.316,11813300,0.0,0
2016-03-22,40.476,40.476,40.035,40.075,12380727,0.0,0
2016-03-23,39.674,39.755,39.434,39.674,17432504,0.0,0
2016-03-24,39.274,39.394,38.993,39.113,27542254,0.0,0
2016-03-29,38.873,39.033,38.592,38.953,27907888,0.0,0
2016-03-30,38.873,39.474,38.753,39.314,29039907,0.0,0
2016-03-31,38.873,39.154,38.753,38.793,26596982,0.0,0
2016-04-01,38.833,38.873,38.352,38.432,29888783,0.0,0
2016-04-05,38.031,38.071,37.39,37.47,48264822,0.0,0
2016-04-06,36.949,36.989,36.629,36.829,42227380,0.0,0
2016-04-07,36.709,36.949,36.589,36.709,24693527,0.0,0
2016-04-08,36.428,36.869,36.108,36.869,20757579,0.0,0
2016-04-11,36.829,37.27,36.669,37.03,30310937,0.0,0
2016-04-12,36.869,37.03,36.789,36.829,18322088,0.0,0
2016-04-13,37.671,38.552,37.43,38.512,42283448,0.0,0
2016-04-14,39.594,39.674,39.194,39.274,37866945,0.0,0
2016-04-15,39.434,39.594,39.354,39.514,20784278,0.0,0
2016-04-18,39.354,39.354,38.793,39.234,21942259,0.0,0
2016-04-19,39.674,40.716,39.674,40.676,47902965,0.0,0
2016-04-20,40.676,40.757,40.155,40.596,25004705,0.0,0
2016-04-21,41.558,42.4,41.398,42.4,60318567,0.0,0
2016-04-22,41.919,42.039,41.638,41.798,23426317,0.0,0
2016-04-25,41.358,41.839,41.197,41.237,20934234,0.0,0
2016-04-26,41.358,41.919,40.917,41.879,19738646,0.0,0
2016-04-27,42.48,42.64,42.079,42.199,29334848,0.0,0
2016-04-28,42.4,42.84,41.718,41.839,30671689,0.0,0
2016-04-29,41.678,41.839,41.358,41.518,16949144,0.0,0
2016-05-03,41.358,42.56,40.797,41.277,37546864,0.0,0
2016-05-04,40.516,40.716,40.075,40.195,29835390,0.0,0
2016-05-05,39.594,40.035,39.474,39.634,30076053,0.0,0
2016-05-06,39.474,39.554,38.753,38.753,36282101,0.0,0
2016-05-09,39.274,39.434,38.793,38.793,20714493,0.0,0
2016-05-10,38.753,39.194,38.753,39.073,20158499,0.0,0
2016-05-11,39.113,39.154,38.633,38.633,20794189,0.0,0
2016-05-12,38.753,38.793,38.071,38.312,26845674,0.0,0
2016-05-13,38.071,38.232,37.711,37.911,28694763,0.0,0
2016-05-16,38.031,38.673,38.031,38.432,20458111,0.0,0
2016-05-17,38.673,39.594,38.512,39.434,26662411,0.0,0
2016-05-18,38.873,39.234,38.753,38.873,26191077,0.0,0
2016-05-19,39.505,40.197,39.423,40.116,31665074,0.775746,0
2016-05-20,39.831,40.034,39.505,39.668,20423325,0.0,0
2016-05-23,39.301,39.586,39.098,39.26,20760494,0.0,0
2016-05-24,39.301,39.627,39.016,39.505,13236912,0.0,0
2016-05-25,40.319,41.052,40.319,41.012,44945164,0.0,0
2016-05-26,41.256,41.5,40.971,41.419,31438778,0.0,0
2016-05-27,41.378,41.663,41.052,41.419,24129831,0.0,0
2016-05-30,41.215,41.623,41.175,41.378,14181628,0.0,0
2016-05-31,41.134,42.152,41.134,41.704,26376528,0.0,0
2016-06-01,40.93,41.419,40.808,41.012,29170854,0.0,0
2016-06-02,40.727,41.378,40.727,41.134,21691426,0.0,0
2016-06-03,41.175,41.663,41.175,41.378,28192014,0.0,0
2016-06-06,41.134,41.134,40.482,40.808,18856832,0.0,0
2016-06-07,41.215,41.623,41.093,41.419,15028778,0.0,0
2016-06-08,41.215,41.46,41.012,41.134,14256871,0.0,0
2016-06-10,40.767,40.89,40.075,40.197,25503914,0.0,0
2016-06-13,39.057,39.098,38.69,39.016,43785480,0.0,0
2016-06-14,39.016,39.26,38.446,38.487,35191085,0.0,0
2016-06-15,38.12,38.69,37.957,38.568,33508665,0.0,0
2016-06-16,38.242,38.283,37.713,37.794,46699667,0.0,0
2016-06-17,38.527,39.016,38.446,38.853,24808475,0.0,0
2016-06-20,39.912,40.523,39.546,40.197,47055884,0.0,0
2016-06-21,40.156,40.604,40.156,40.564,28593221,0.0,0
2016-06-22,40.727,41.052,40.604,40.971,33310264,0.0,0
2016-06-23,41.297,41.663,41.297,41.378,42230799,0.0,0
2016-06-24,40.116,41.5,36.247,38.65,275737207,0.0,0
2016-06-27,37.794,38.568,37.631,37.998,58521740,0.0,0
2016-06-28,36.939,37.835,36.898,37.754,59494463,0.0,0
2016-06-29,38.039,38.365,37.957,38.242,55071490,0.0,0
